Fish_ID,Beas_population_code,Population_old_code,Harvested,Sex,Weight_g,Length_mm,Weight_finished,Length_finished,Tank,Acclimation,Treatment,Trial,Distance_moved,Speed,Time_moving,TotalTime,Time_stationary,Percentage_moving,MMR_mghg,SMR_mghg,SGR,Weight_resp,MMR_scaled,SMR_scaled,AS,FSR,fastestFSR,Status,FastestStatus
1Mg,5,2,Random,M,0.14,18.5,0.17,19,1,H,Hypoxia,1,395.8335248,11.0877738,35.7,865.6,829.9,1.58271719,0.744,0.256,0.33,0.15,0.2,0.062,0.138,NA,29,0,1
1ML,5,2,Random,M,0.13,17.5,0.14,18.5,1,H,Hypoxia,1,559.6767068,6.949627982,80.53333333,865.6,785.0666667,20.74476278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1Mp,8,3,Random,M,0.13,19.5,0.16,19.5,1,H,Hypoxia,1,438.6794863,8.088742833,54.23333333,865.6,811.3666667,4.062692545,1.319,0.288,0.36,0.16,0.358,0.071,0.287,28,28,1,1
2Fb,1,1,Small,F,0.17,19,0.72,30,2,N,Hypoxia,1,654.6763443,6.345812707,103.1666667,865.6,762.4333333,18.71919285,0.642,0.167,2.49,0.44,0.201,0.055,0.146,7,6,1,1
2Fg,6,2,Small,F,0.12,18.5,0.34,23,2,N,Hypoxia,1,598.4405629,6.441771398,92.9,865.6,772.7,18.55745533,0.379,0.195,1.8,0.25,0.109,0.055,0.054,NA,24,0,1
2FL,9,3,Small,F,0.29,23.5,0.54,27.5,2,N,Hypoxia,1,284.7568427,7.675386596,37.1,865.6,828.5,2.895871842,NA,NA,NA,NA,NA,NA,NA,143,143,1,1
2Fp,9,3,Small,F,0.3,23.5,0.58,28.5,2,N,Hypoxia,1,42.90128439,6.30901241,6.8,865.6,858.8,0.400492914,0.557,0.171,1.14,0.43,0.174,0.056,0.118,NA,NA,NA,NA
2Mb,1,1,Small,M,0.05,15.5,0.07,16,2,N,Hypoxia,1,253.6500083,6.90517264,36.73333333,865.6,828.8666667,15.91189156,0.175,0.15,0.58,0.09,0.044,0.031,0.013,6,4,1,1
2Mg,1,1,Small,M,0.06,15.5,0.07,15.5,2,N,Hypoxia,1,66.2423283,8.716095828,7.6,865.6,858,8.910967344,0.271,0.295,0.27,0.07,0.065,0.057,0.008,6,5,1,1
2ML,6,2,Small,M,0.09,15.5,0.1,17.5,2,N,Hypoxia,1,653.2929032,7.367965074,88.66666667,865.6,776.9333333,26.4594886,NA,NA,NA,NA,NA,NA,NA,101,101,1,1
