Fish_ID,Beas_population_code,Population_old_code,Harvested,Sex,Weight_g,Length_mm,Weight_finished,Length_finished,Tank,Acclimation,Treatment,Trial,Distance_moved,Speed,Time_moving,TotalTime,Time_stationary,Percentage_moving,MMR_mghg,SMR_mghg,SGR,Weight_resp,MMR_scaled,SMR_scaled,AS,FSR,fastestFSR,Status,FastestStatus
2FL,9,3,Small,F,0.29,23.5,0.54,27.5,2,N,Hypoxia,2,487.9133371,6.907692361,70.63333333,865.6,794.9666667,8.16004313,NA,NA,NA,NA,NA,NA,NA,NA,143,0,1
2Fp,9,3,Small,F,0.3,23.5,0.58,28.5,2,N,Hypoxia,2,278.6823031,6.391795942,43.6,865.6,822,5.036968577,0.557,0.171,1.14,0.43,0.174,0.056,0.118,NA,NA,NA,NA
2Mb,1,1,Small,M,0.05,15.5,0.07,16,2,N,Hypoxia,2,444.6171545,6.121392673,72.63333333,865.6,792.9666667,8.391096734,0.175,0.15,0.58,0.09,0.044,0.031,0.013,4,4,1,1
2Mg,1,1,Small,M,0.06,15.5,0.07,15.5,2,N,Hypoxia,2,396.1221442,6.084825564,65.1,865.6,800.5,7.520794824,0.271,0.295,0.27,0.07,0.065,0.057,0.008,5,5,1,1
2ML,6,2,Small,M,0.09,15.5,0.1,17.5,2,N,Hypoxia,2,1146.641921,6.30253896,181.9333333,865.6,683.6666667,21.01817622,NA,NA,NA,NA,NA,NA,NA,NA,101,0,1
2Mp,9,3,Small,M,0.12,17,0.13,18,2,N,Hypoxia,2,280.0433477,6.522748781,42.93333333,865.6,822.6666667,4.959950709,0.545,0.027,0.14,0.13,0.144,0.006,0.138,NA,17,0,1
3Fb,2,1,Random,F,0.22,21.5,0.58,26.5,3,H,Hypoxia,2,567.8083686,6.952755534,81.66666667,865.6,783.9333333,9.434688848,0.641,0.286,1.67,0.45,0.201,0.096,0.105,32,32,1,1
3Fg,5,2,Random,F,0.3,23.5,0.82,30,3,H,Hypoxia,2,144.124933,8.066694012,17.86666667,865.6,847.7333333,2.064078866,0.381,0.213,1.73,0.93,0.132,0.088,0.044,NA,NA,NA,NA
3FL,5,2,Random,F,0.22,21.5,0.69,27.5,3,H,Hypoxia,2,133.371131,6.958493789,19.16666667,865.6,846.4333333,2.214263709,NA,NA,NA,NA,NA,NA,NA,NA,46,0,1
3Fp,8,3,Random,F,0.18,20.5,0.25,23,3,H,Hypoxia,2,1673.35796,7.534254662,222.1,865.6,643.5,25.65850277,0.54,0.175,0.57,0.29,0.159,0.051,0.108,NA,NA,0,0
3Mb,2,1,Random,M,0.11,18,0.11,18,3,H,Hypoxia,2,2137.555985,17.42572813,122.6666667,865.6,742.9333333,14.17128774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3Mg,5,2,Random,M,0.11,18,0.12,18,3,H,Hypoxia,2,2004.352855,8.030259835,249.6,865.6,616,28.83548983,0.341,0.442,0.15,0.12,0.089,0.101,-0.012,48,35,1,1
3ML,8,3,Random,M,0.12,17.5,0.12,18,3,H,Hypoxia,2,2113.65449,7.126279468,296.6,865.6,569,34.26524954,NA,NA,NA,NA,NA,NA,NA,5,5,1,1
3Mp,8,3,Random,M,0.15,18.5,0.16,19,3,H,Hypoxia,2,805.5554117,6.621003383,121.6666667,865.6,743.9333333,14.05576094,0.564,0.079,0.11,0.16,0.153,0.02,0.133,5,5,1,1
4Fb,2,1,Random,F,0.16,20,0.52,26.5,4,N,Hypoxia,2,575.3778652,7.210248938,79.8,865.6,785.8,9.219038817,NA,0.221,2.03,NA,NA,NA,NA,NA,NA,NA,NA
4Fg,5,2,Random,F,0.23,22,0.8,30.5,4,N,Hypoxia,2,476.3875268,7.729381182,61.63333333,865.6,803.9666667,7.12030191,0.461,0.283,2.15,0.72,0.154,0.108,0.046,79,34,1,1
4FL,8,3,Random,F,0.19,20,0.35,25,4,N,Hypoxia,2,141.8993408,6.315994398,22.46666667,865.6,843.1333333,2.595502157,NA,NA,NA,NA,NA,NA,NA,NA,24,0,1
4Fp,8,3,Random,F,0.17,20,0.62,27,4,N,Hypoxia,2,141.3663237,6.46492334,21.86666667,865.6,843.7333333,2.526186075,0.523,0.181,2.23,0.43,0.163,0.06,0.103,NA,NA,NA,NA
4Mb,8,1,Random,M,0.09,16,0.01,17,4,N,Hypoxia,2,501.1655665,6.416972682,78.1,865.6,787.5,9.022643253,0.901,0.185,-3.79,0.1,0.229,0.04,0.189,71,45,1,1
4Mg,5,2,Random,M,0.1,16.5,0.12,17,4,N,Hypoxia,2,898.6602044,6.686459855,134.4,865.6,731.2,15.52680222,0.682,0.06,0.31,0.11,0.176,0.013,0.163,41,41,1,1
4ML,5,2,Random,M,0.11,17,0.13,18,4,N,Hypoxia,2,696.0767163,7.028711373,99.03333333,865.6,766.5666667,11.44100431,NA,NA,NA,NA,NA,NA,NA,6,4,1,1
4Mp,8,3,Random,M,0.09,16,0.09,16,4,N,Hypoxia,2,729.075692,7.147800902,102,865.6,763.6,11.78373383,1.081,0.075,0,0.09,0.271,0.016,0.255,NA,108,0,1
5Fb,1,1,Small,F,0.18,20,0.23,22.5,5,H,Hypoxia,2,853.912066,7.133768304,119.7,865.6,745.9,13.82855823,0.611,0.202,0.42,0.32,0.183,0.061,0.122,6,6,1,1
5Fg,1,1,Small,F,0.13,18,0.43,25.5,5,H,Hypoxia,2,1238.031548,7.063702253,175.2666667,865.6,690.3333333,20.24799754,0.525,0.158,2.06,0.4,0.162,0.051,0.111,6,6,1,1
5FL,6,2,Small,F,0.19,20.5,0.38,24,5,H,Hypoxia,2,230.306986,7.668379114,30.03333333,865.6,835.5666667,3.46965496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5Fp,9,3,Small,F,0.19,21,0.42,25.5,5,H,Hypoxia,2,103.7679571,9.851388335,10.53333333,865.6,855.0666667,1.216882317,0.55,0.207,1.37,0.42,0.171,0.068,0.103,17,17,1,1
5Mb,1,1,Small,M,0.07,12.5,0.08,16,5,H,Hypoxia,2,54.47583369,9.079305615,6,865.6,859.6,0.693160813,0.266,0.074,0.23,0.09,0.067,0.015,0.052,5,5,1,1
5Mg,6,2,Small,M,0.08,15,0.09,15.5,5,H,Hypoxia,2,415.9879308,7.038712873,59.1,865.6,806.5,6.827634011,0.688,0.068,0.2,0.09,0.172,0.014,0.158,6,39,1,1
5ML,6,2,Small,M,0.1,16.5,0.12,18,5,H,Hypoxia,2,501.7925293,7.787778519,64.43333333,865.6,801.1666667,7.443776956,NA,NA,NA,NA,NA,NA,NA,6,5,1,1
5Mp,9,3,Small,M,0.11,17.5,0.12,18,5,H,Hypoxia,2,473.1814172,7.518772519,62.93333333,865.6,802.6666667,7.270486753,0.894,0.254,0.15,0.12,0.233,0.058,0.175,NA,NA,NA,NA
6Fb,1,1,Small,F,0.12,16.5,0.34,24,6,N,Hypoxia,2,96.20550805,8.317479082,11.56666667,865.6,854.0333333,1.336260012,0.439,0.014,1.8,0.4,0.135,0.005,0.13,6,19,1,1
6Fg,6,2,Small,F,0.11,17,0.45,25.5,6,N,Hypoxia,2,160.6979474,8.911161591,18.03333333,865.6,847.5666667,2.083333333,0.596,0.216,2.43,0.37,0.182,0.068,0.114,6,24,1,1
6FL,9,3,Small,F,0.13,19.5,0.65,27.5,6,N,Hypoxia,2,70.49948438,8.923985364,7.9,865.6,857.7,0.912661738,NA,NA,NA,NA,NA,NA,NA,8,26,1,1
6Fp,9,3,Small,F,0.12,17,0.33,23.5,6,N,Hypoxia,2,434.3495851,7.159608546,60.66666667,865.6,804.9333333,7.008626001,0.608,0.171,1.74,0.28,0.178,0.05,0.128,6,35,1,1
6Mb,1,1,Small,M,0.07,14.5,0.09,16,6,N,Hypoxia,2,917.4484834,7.810287883,117.4666667,865.6,748.1333333,13.57054837,0.968,0.155,0.43,0.08,0.238,0.031,0.207,NA,NA,NA,NA
6Mg,6,2,Small,M,0.1,16,0.11,17,6,N,Hypoxia,2,9982.65822,47.55911491,209.9,865.6,655.7,24.24907579,0.832,0.176,0.16,0.06,0.197,0.033,0.164,5,5,1,1
6ML,6,2,Small,M,0.08,15,0.09,16.5,6,N,Hypoxia,2,393.2494253,9.997866746,39.33333333,865.6,826.2666667,4.544054221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6Mp,9,3,Small,M,0.09,15.5,0.09,16,6,N,Hypoxia,2,419.0671717,7.139134101,58.7,865.6,806.9,6.78142329,0.253,0.15,0,0.09,0.063,0.031,0.032,32,32,1,1
7Fb,3,1,Large,F,0.2,20,0.25,21.5,7,N,Hypoxia,2,362.0175267,7.785323154,46.5,865.6,819.1,5.371996303,0.876,0.119,0.38,0.21,0.247,0.032,0.215,6,6,1,1
7Fg,4,2,Large,F,0.22,22.5,1.11,32,7,N,Hypoxia,2,358.0330035,7.811629167,45.83333333,865.6,819.7666667,5.294978435,0.272,0.229,2.79,0.81,0.093,0.091,0.002,NA,NA,NA,NA
7FL,7,3,Large,F,0.2,20.5,0.63,27,7,N,Hypoxia,2,547.2341362,17.08327168,32.03333333,865.6,833.5666667,3.700708564,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
7Fp,7,3,Large,F,0.25,22.5,0.99,31,7,N,Hypoxia,2,223.97405,7.507510054,29.83333333,865.6,835.7666667,3.4465496,0.488,0.247,2.37,0.66,0.161,0.092,0.069,47,27,1,1
7Mb,3,1,Large,M,0.13,18,0.15,19,7,N,Hypoxia,2,96.14131814,7.511040479,12.8,865.6,852.8,1.478743068,0.613,0.098,0.25,0.14,0.163,0.023,0.14,NA,NA,NA,NA
7Mg,3,1,Large,M,0.14,18,0.15,19.5,7,N,Hypoxia,2,707.4171803,7.27795453,97.2,865.6,768.4,11.22920518,1.009,0.336,0.12,0.14,0.269,0.08,0.189,9,5,1,1
7ML,4,2,Large,M,0.1,16,0.1,16.5,7,N,Hypoxia,2,212.2792702,7.833183403,27.1,865.6,838.5,3.13077634,NA,NA,NA,NA,NA,NA,NA,6,115,1,1
7Mp,7,3,Large,M,0.15,19,0.18,19.5,7,N,Hypoxia,2,73.9124625,6.92929336,10.66666667,865.6,854.9333333,1.23228589,0.613,0.274,0.31,0.17,0.168,0.069,0.099,5,4,1,1
8Fb,3,1,Large,F,0.21,21.5,0.35,25,8,H,Hypoxia,2,1144.041458,7.548107264,151.5666667,865.6,714.0333333,17.51001232,0.724,0.16,0.88,0.34,0.218,0.049,0.169,NA,NA,NA,NA
8Fg,4,2,Large,F,0.19,21,0.7,29.5,8,H,Hypoxia,2,576.7926736,7.91935021,72.83333333,865.6,792.7666667,8.414202095,0.453,0.305,2.25,0.83,0.155,0.122,0.033,5,4,1,1
8FL,4,2,Large,F,0.2,20.5,0.79,31,8,H,Hypoxia,2,229.7070175,7.082436306,32.43333333,865.6,833.1666667,3.746919285,NA,NA,NA,NA,NA,NA,NA,NA,48,0,1
8Fp,7,3,Large,F,0.2,22,0.49,26,8,H,Hypoxia,2,312.5015371,6.456643328,48.4,865.6,817.2,5.591497227,0.474,0.207,1.54,0.49,0.15,0.071,0.079,25,18,1,1
8Mb,3,1,Large,M,0.11,18,0.16,18.5,8,H,Hypoxia,2,211.9973393,6.928017624,30.6,865.6,835,3.535120148,0.792,0.187,0.65,0.11,0.204,0.042,0.162,5,40,1,1
8Mg,4,2,Large,M,0.11,16,0.13,18,8,H,Hypoxia,2,632.7818069,6.908098329,91.6,865.6,774,10.58225508,0.764,0.274,0.29,0.12,0.199,0.062,0.137,5,5,1,1
8ML,7,3,Large,M,0.13,18,0.15,19,8,H,Hypoxia,2,915.3735577,9.280570034,98.63333333,865.6,766.9666667,11.39479359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8Mp,7,3,Large,M,0.21,22.5,0.31,25,8,H,Hypoxia,2,43.90033854,6.82388682,6.433333333,865.6,859.1666667,0.743222428,0.577,0.157,0.67,0.31,0.172,0.047,0.125,5,46,1,1
9Fb,3,1,Large,F,0.17,20.5,0.44,26,9,N,Hypoxia,2,139.1103784,6.841494018,20.33333333,865.6,845.2666667,2.349044978,0.534,0.193,1.64,0.34,0.161,0.059,0.102,49,49,1,1
9Fg,4,2,Large,F,0.13,18,0.261,21,9,N,Hypoxia,2,695.7779648,8.575734981,81.13333333,865.6,784.4666667,9.373074553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9FL,7,3,Large,F,0.2,21,0.59,28,9,N,Hypoxia,2,605.5803305,6.385732835,94.83333333,865.6,770.7666667,10.95579174,NA,NA,NA,NA,NA,NA,NA,44,44,1,1
9Fp,7,3,Large,F,0.19,20,0.82,29.5,9,N,Hypoxia,2,460.5891752,6.414891019,71.8,865.6,793.8,8.294824399,0.562,0.194,2.52,0.57,0.182,0.069,0.113,7,49,1,1
9Mb,3,1,Large,M,0.11,17,0.12,18,9,N,Hypoxia,2,518.8940305,6.584949625,78.8,865.6,786.8,9.103512015,0.492,0.136,0.15,0.12,0.128,0.031,0.097,4,31,1,1
9Mg,4,2,Large,M,0.1,17,0.13,18,9,N,Hypoxia,2,748.1817598,6.250474184,119.7,865.6,745.9,13.82855823,0.998,0.415,0.45,0.12,0.26,0.094,0.166,5,38,1,1
9ML,4,2,Large,M,0.12,19,0.13,18.5,9,N,Hypoxia,2,1080.66942,6.776773121,159.4666667,865.6,706.1333333,18.42267406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9Mp,7,3,Large,M,0.13,18,0.17,19,9,N,Hypoxia,2,126.0473141,7.910919296,15.93333333,865.6,849.6666667,1.840727049,0.676,0.223,0.46,0.16,0.183,0.055,0.128,6,6,1,1
10Fb,3,1,Large,F,0.23,22,0.69,30.5,10,H,Hypoxia,3,216.8992814,6.79225307,31.93333333,865.6,833.6666667,3.689155884,0.463,0.213,1.89,0.54,0.149,0.075,0.074,NA,NA,0,0
10Fg,3,1,Large,F,0.16,20,0.54,27,10,H,Hypoxia,3,228.6501518,7.07165418,32.33333333,865.6,833.2666667,3.735366605,0.409,0.158,2.1,0.38,0.125,0.05,0.075,NA,7,0,1
10FL,4,2,Large,F,0.21,21.5,0.87,29,10,H,Hypoxia,3,65.36574067,15.8142921,4.133333333,865.6,861.4666667,0.477510783,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1
10Fp,7,3,Large,F,0.23,21.5,0.6,27.5,10,H,Hypoxia,3,556.721105,6.220347542,89.5,865.6,776.1,10.3396488,0.457,0.145,1.65,0.43,0.142,0.048,0.094,55,55,1,1
10Mg,4,2,Large,M,0.16,18.5,0.19,20.5,10,H,Hypoxia,3,611.0773622,7.901862442,77.33333333,865.6,788.2666667,8.934072705,0.707,0.004,0.3,0.16,0.192,0.001,0.191,7,6,1,1
10ML,4,2,Large,M,0.12,18,0.11,16.5,10,H,Hypoxia,3,217.6609349,6.88800427,31.6,865.6,834,3.65064695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10Mp,7,3,Large,M,0.16,20,0.17,19.5,10,H,Hypoxia,3,249.91903,6.26887199,39.86666667,865.6,825.7333333,4.605668515,0.544,0.025,0.1,0.17,0.149,0.006,0.143,NA,NA,NA,NA
11Fb,2,1,Random,F,0.21,20,0.19,21.5,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,0.579,0.205,-0.17,0.17,0.158,0.052,0.106,NA,NA,0,0
11Fg,5,2,Random,F,0.23,23,0.61,29,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,0.429,0.284,1.68,0.76,0.145,0.11,0.035,51,17,1,1
11FL,8,3,Random,F,0.18,20.5,0.58,18.5,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11Fp,8,3,Random,F,0.21,21.5,0.18,21.5,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11Mb,2,1,Random,M,0.1,16,0.08,16,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,1.095,0.274,-0.38,0.08,0.27,0.055,0.215,NA,114,0,1
11Mg,2,1,Random,M,0.1,17,0.12,17.5,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,1.119,0.363,0.31,0.12,0.292,0.083,0.209,91,31,1,1
11ML,5,2,Random,M,0.12,17,0.14,18,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,NA,NA,NA,NA,NA,NA,NA,44,33,1,1
11Mp,8,3,Random,M,0.11,17,0.12,17.5,11,N,Hypoxia,3,0,NA,0,897.3333333,897.3333333,0,1.164,0.312,0.15,0.12,0.303,0.071,0.232,4,36,1,1
12Fb,1,1,Small,F,0.17,19.5,0.62,27,12,H,Hypoxia,3,294.3992482,7.378427274,39.9,865.6,825.7,4.609519409,0.457,0.177,2.23,0.44,0.143,0.059,0.084,30,30,1,1
12Fg,6,2,Small,F,0.11,17.5,0.44,24.5,12,H,Hypoxia,3,145.4184121,7.013749778,20.73333333,865.6,844.8666667,2.395255699,0.554,0.146,2.39,0.37,0.169,0.046,0.123,45,33,1,1
12FL,6,2,Small,F,0.16,19,0.38,24,12,H,Hypoxia,3,232.5900771,7.650989379,30.4,865.6,835.2,3.512014787,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1
12Fp,9,3,Small,F,0.17,19.5,0.43,25,12,H,Hypoxia,3,185.2272548,7.717802281,24,865.6,841.6,2.772643253,0.509,0.113,1.6,0.37,0.155,0.036,0.119,7,4,1,1
12Mb,1,1,Small,M,0.08,17,0.09,15.5,12,H,Hypoxia,3,599.2861828,6.973850071,85.93333333,865.6,779.6666667,9.927603204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12Mg,6,2,Small,M,0.07,15,0.07,15,12,H,Hypoxia,3,545.1532834,6.837206732,79.73333333,865.6,785.8666667,9.21133703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12ML,9,3,Small,M,0.12,18,0.14,18.5,12,H,Hypoxia,3,130.3669065,6.328490607,20.6,865.6,845,2.379852126,NA,NA,NA,NA,NA,NA,NA,5,3,1,1
12Mp,9,3,Small,M,0.08,16,0.09,16.5,12,H,Hypoxia,3,217.6701739,6.309280402,34.5,865.6,831.1,3.985674677,0.422,0.1,0.2,0.09,0.106,0.021,0.085,51,51,1,1
1Fb,2,1,Random,F,0.16,19,0.3,22,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,0.619,0.219,1.08,0.28,0.182,0.064,0.118,5,10,1,1
1Fg,2,1,Random,F,0.23,20.5,0.45,25.5,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,0.628,0.172,1.16,0.41,0.194,0.056,0.138,NA,NA,NA,NA
1FL,5,2,Random,F,0.24,22.5,0.57,28.5,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1Fp,8,3,Random,F,0.19,20.5,0.2,21.5,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,0.881,0.175,0.09,0.19,0.245,0.046,0.199,7,6,1,1
1Mb,2,1,Random,M,0.1,16,0.12,18,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,1.234,0.268,0.31,0.11,0.318,0.059,0.259,NA,78,0,1
1Mg,5,2,Random,M,0.14,18.5,0.17,19,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,0.744,0.256,0.33,0.15,0.2,0.062,0.138,NA,29,0,1
1ML,5,2,Random,M,0.13,17.5,0.14,18.5,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1Mp,8,3,Random,M,0.13,19.5,0.16,19.5,1,H,Hypoxia,3,0,NA,0,894.6,894.6,0,1.319,0.288,0.36,0.16,0.358,0.071,0.287,5,28,1,1
2Fb,1,1,Small,F,0.17,19,0.72,30,2,N,Hypoxia,3,1713.292192,7.063180673,242.5666667,865.6,623.0333333,28.02295132,0.642,0.167,2.49,0.44,0.201,0.055,0.146,6,6,1,1
2Fg,6,2,Small,F,0.12,18.5,0.34,23,2,N,Hypoxia,3,65.94559324,6.616614706,9.966666667,865.6,855.6333333,1.151417129,0.379,0.195,1.8,0.25,0.109,0.055,0.054,24,24,1,1
2FL,9,3,Small,F,0.29,23.5,0.54,27.5,2,N,Hypoxia,3,438.0893457,6.352189643,68.96666667,865.6,796.6333333,7.96749846,NA,NA,NA,NA,NA,NA,NA,NA,143,0,1
2Fp,9,3,Small,F,0.3,23.5,0.58,28.5,2,N,Hypoxia,3,221.9352722,6.347052588,34.96666667,865.6,830.6333333,4.039587184,0.557,0.171,1.14,0.43,0.174,0.056,0.118,NA,NA,NA,NA
2Mb,1,1,Small,M,0.05,15.5,0.07,16,2,N,Hypoxia,3,870.5707222,6.898341697,126.2,865.6,739.4,14.57948244,0.175,0.15,0.58,0.09,0.044,0.031,0.013,6,4,1,1
2Mg,1,1,Small,M,0.06,15.5,0.07,15.5,2,N,Hypoxia,3,219.810583,6.701542165,32.8,865.6,832.8,3.789279113,0.271,0.295,0.27,0.07,0.065,0.057,0.008,5,5,1,1
2ML,6,2,Small,M,0.09,15.5,0.1,17.5,2,N,Hypoxia,3,1438.16443,6.952132275,206.8666667,865.6,658.7333333,23.89864449,NA,NA,NA,NA,NA,NA,NA,11,101,1,1
2Mp,9,3,Small,M,0.12,17,0.13,18,2,N,Hypoxia,3,1252.376429,7.374149731,169.8333333,865.6,695.7666667,19.62030191,0.545,0.027,0.14,0.13,0.144,0.006,0.138,17,17,1,1
3Fb,2,1,Random,F,0.22,21.5,0.58,26.5,3,H,Hypoxia,3,462.8202553,8.591960184,53.86666667,865.6,811.7333333,6.223043746,0.641,0.286,1.67,0.45,0.201,0.096,0.105,83,32,1,1
3Fg,5,2,Random,F,0.3,23.5,0.82,30,3,H,Hypoxia,3,229.749644,6.465749831,35.53333333,865.6,830.0666667,4.105052372,0.381,0.213,1.73,0.93,0.132,0.088,0.044,NA,NA,NA,NA
3FL,5,2,Random,F,0.22,21.5,0.69,27.5,3,H,Hypoxia,3,121.7445326,6.839580481,17.8,865.6,847.8,2.056377079,NA,NA,NA,NA,NA,NA,NA,46,46,1,1
3Fp,8,3,Random,F,0.18,20.5,0.25,23,3,H,Hypoxia,3,62.90962713,6.530411121,9.633333333,865.6,855.9666667,1.112908195,0.54,0.175,0.57,0.29,0.159,0.051,0.108,NA,NA,0,0
3Mb,2,1,Random,M,0.11,18,0.11,18,3,H,Hypoxia,3,212.1862746,7.986936309,26.56666667,865.6,839.0333333,3.069162046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3Mg,5,2,Random,M,0.11,18,0.12,18,3,H,Hypoxia,3,21.96450606,9.690223262,2.266666667,865.6,863.3333333,0.261860752,0.341,0.442,0.15,0.12,0.089,0.101,-0.012,35,35,1,1
3ML,8,3,Random,M,0.12,17.5,0.12,18,3,H,Hypoxia,3,299.6767248,6.481832548,46.23333333,865.6,819.3666667,5.341189156,NA,NA,NA,NA,NA,NA,NA,5,5,1,1
3Mp,8,3,Random,M,0.15,18.5,0.16,19,3,H,Hypoxia,3,646.0502353,7.027377469,91.93333333,865.6,773.6666667,10.62076402,0.564,0.079,0.11,0.16,0.153,0.02,0.133,5,5,1,1
4Fb,2,1,Random,F,0.16,20,0.52,26.5,4,N,Hypoxia,3,403.6053576,8.321759951,48.5,865.6,817.1,5.603049908,NA,0.221,2.03,NA,NA,NA,NA,NA,NA,NA,NA
4Fg,5,2,Random,F,0.23,22,0.8,30.5,4,N,Hypoxia,3,24.44992636,7.191154813,3.4,865.6,862.2,0.392791128,0.461,0.283,2.15,0.72,0.154,0.108,0.046,37,34,1,1
4FL,8,3,Random,F,0.19,20,0.35,25,4,N,Hypoxia,3,769.9597822,6.434204308,119.6666667,865.6,745.9333333,13.82470733,NA,NA,NA,NA,NA,NA,NA,24,24,1,1
4Fp,8,3,Random,F,0.17,20,0.62,27,4,N,Hypoxia,3,103.2953851,8.560391034,12.06666667,865.6,853.5333333,1.394023413,0.523,0.181,2.23,0.43,0.163,0.06,0.103,NA,NA,NA,NA
4Mb,8,1,Random,M,0.09,16,0.01,17,4,N,Hypoxia,3,168.0019445,6.571132117,25.56666667,865.6,840.0333333,2.953635243,0.901,0.185,-3.79,0.1,0.229,0.04,0.189,45,45,1,1
4Mg,5,2,Random,M,0.1,16.5,0.12,17,4,N,Hypoxia,3,720.990449,7.136164128,101.0333333,865.6,764.5666667,11.67205792,0.682,0.06,0.31,0.11,0.176,0.013,0.163,6,41,1,1
4ML,5,2,Random,M,0.11,17,0.13,18,4,N,Hypoxia,3,216.8792009,7.600906572,28.53333333,865.6,837.0666667,3.296364757,NA,NA,NA,NA,NA,NA,NA,6,4,1,1
4Mp,8,3,Random,M,0.09,16,0.09,16,4,N,Hypoxia,3,681.7755825,6.84513637,99.6,865.6,766,11.5064695,1.081,0.075,0,0.09,0.271,0.016,0.255,35,108,1,1
5Fb,1,1,Small,F,0.18,20,0.23,22.5,5,H,Hypoxia,3,357.8893715,6.689520962,53.5,865.6,812.1,6.180683919,0.611,0.202,0.42,0.32,0.183,0.061,0.122,6,6,1,1
5Fg,1,1,Small,F,0.13,18,0.43,25.5,5,H,Hypoxia,3,189.3265834,7.055649071,26.83333333,865.6,838.7666667,3.099969193,0.525,0.158,2.06,0.4,0.162,0.051,0.111,6,6,1,1
5FL,6,2,Small,F,0.19,20.5,0.38,24,5,H,Hypoxia,3,441.6220769,6.647597745,66.43333333,865.6,799.1666667,7.674830561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5Fp,9,3,Small,F,0.19,21,0.42,25.5,5,H,Hypoxia,3,554.2246335,7.53705304,73.53333333,865.6,792.0666667,8.495070856,0.55,0.207,1.37,0.42,0.171,0.068,0.103,45,17,1,1
5Mb,1,1,Small,M,0.07,12.5,0.08,16,5,H,Hypoxia,3,224.5527137,7.091138326,31.66666667,865.6,833.9333333,3.658348737,0.266,0.074,0.23,0.09,0.067,0.015,0.052,7,5,1,1
5Mg,6,2,Small,M,0.08,15,0.09,15.5,5,H,Hypoxia,3,565.4691836,6.791063054,83.26666667,865.6,782.3333333,9.619531731,0.688,0.068,0.2,0.09,0.172,0.014,0.158,5,39,1,1
5ML,6,2,Small,M,0.1,16.5,0.12,18,5,H,Hypoxia,3,798.307968,7.100278399,112.4333333,865.6,753.1666667,12.98906346,NA,NA,NA,NA,NA,NA,NA,7,5,1,1
5Mp,9,3,Small,M,0.11,17.5,0.12,18,5,H,Hypoxia,3,447.4113619,7.975247092,56.1,865.6,809.5,6.481053604,0.894,0.254,0.15,0.12,0.233,0.058,0.175,NA,NA,NA,NA
6Fb,1,1,Small,F,0.12,16.5,0.34,24,6,N,Hypoxia,3,263.1620191,8.097292894,32.5,865.6,833.1,3.754621072,0.439,0.014,1.8,0.4,0.135,0.005,0.13,6,19,1,1
6Fg,6,2,Small,F,0.11,17,0.45,25.5,6,N,Hypoxia,3,252.323082,6.850400416,36.83333333,865.6,828.7666667,4.255237215,0.596,0.216,2.43,0.37,0.182,0.068,0.114,7,24,1,1
6FL,9,3,Small,F,0.13,19.5,0.65,27.5,6,N,Hypoxia,3,366.272061,6.889129673,53.16666667,865.6,812.4333333,6.142174985,NA,NA,NA,NA,NA,NA,NA,33,26,1,1
6Fp,9,3,Small,F,0.12,17,0.33,23.5,6,N,Hypoxia,3,423.7833091,7.047394276,60.13333333,865.6,805.4666667,6.947011707,0.608,0.171,1.74,0.28,0.178,0.05,0.128,35,35,1,1
6Mb,1,1,Small,M,0.07,14.5,0.09,16,6,N,Hypoxia,3,3344.744674,43.06538207,77.66666667,865.6,787.9333333,8.972581639,0.968,0.155,0.43,0.08,0.238,0.031,0.207,NA,NA,NA,NA
