"Fish_ID"	"Acclimation"	"Sex"	"Weight_finished"	"Treatment"	"MeanTimeSpentMoving"	"SDTimeSpentMoving"	"SkewnessTimeSpentMoving"	"KurtosisTimeSpentMoving"
"12fb"	"Acclimated"	"F"	0.62	"Recovery"	127.387658238833	179.814448259969	0.689377075654591	1.5
"12fg"	"Acclimated"	"F"	0.44	"Hypoxia"	20.7992216404444	23.9660803118918	0.707092190870856	1.5
"12fg"	"Acclimated"	"F"	0.44	"Normoxia"	225.788086934333	317.251019644955	0.665542326679374	1.5
"12fg"	"Acclimated"	"F"	0.44	"Recovery"	121.219765055389	168.347521371322	0.678426995898463	1.5
"12fl"	"Acclimated"	"F"	0.38	"Hypoxia"	31.7714494707778	39.6475217607741	0.7039896726044	1.5
"12fl"	"Acclimated"	"F"	0.38	"Normoxia"	271.342637745556	385.521954645747	0.669094813097289	1.5
"12fl"	"Acclimated"	"F"	0.38	"Recovery"	101.887455757556	144.915008609411	0.680552368013096	1.5
"12fp"	"Acclimated"	"F"	0.43	"Hypoxia"	25.8200735158889	31.1099830951971	0.70704132642425	1.5
"12fp"	"Acclimated"	"F"	0.43	"Normoxia"	188.883675165667	268.879169913596	0.676764504983865	1.5
"12fp"	"Acclimated"	"F"	0.43	"Recovery"	90.6965613745	127.089027782867	0.698333896587161	1.5
"12mb"	"Acclimated"	"M"	0.09	"Hypoxia"	78.4601184825556	105.607881319821	0.673758554712576	1.5
"12mb"	"Acclimated"	"M"	0.09	"Normoxia"	347.587240259	492.720620310547	0.663852669029151	1.5
"12mb"	"Acclimated"	"M"	0.09	"Recovery"	160.572783921222	228.179606536255	0.679283109357714	1.5
"12mg"	"Acclimated"	"M"	0.07	"Hypoxia"	71.710915214	95.7786622799271	0.673464254945864	1.5
"12mg"	"Acclimated"	"M"	0.07	"Normoxia"	220.326975123222	305.359860705047	0.656487027715566	1.5
"12mg"	"Acclimated"	"M"	0.07	"Recovery"	246.263957042222	345.532749440891	0.662686022386408	1.5
"12ml"	"Acclimated"	"M"	0.14	"Hypoxia"	18.8835975912222	21.2817103074591	0.706598101625961	1.5
"12ml"	"Acclimated"	"M"	0.14	"Normoxia"	123.747621339556	168.258639475017	0.660281730993237	1.5
"12ml"	"Acclimated"	"M"	0.14	"Recovery"	32.3936330488333	40.3909805573629	0.700308239353651	1.5
"12mp"	"Acclimated"	"M"	0.09	"Hypoxia"	30.1220016784444	36.8410800151121	0.691347807679061	1.5
"12mp"	"Acclimated"	"M"	0.09	"Normoxia"	179.100256708111	254.340833270069	0.677406692197922	1.5
"12mp"	"Acclimated"	"M"	0.09	"Recovery"	63.7643343096667	86.7418007936818	0.696185295698009	1.5
"1fb"	"Acclimated"	"F"	0.3	"Hypoxia"	84.5457636189444	113.829752824544	0.673499439160499	1.5
"1fb"	"Acclimated"	"F"	0.3	"Normoxia"	143.226626125778	200.278449747665	0.673687385102155	1.5
"1fb"	"Acclimated"	"F"	0.3	"Recovery"	147.352124923333	207.36803831308	0.677954737080965	1.5
"1fg"	"Acclimated"	"F"	0.45	"Hypoxia"	121.890108569833	167.061041727114	0.66403302850309	1.5
"1fg"	"Acclimated"	"F"	0.45	"Normoxia"	255.384386753167	363.231726546966	0.67018340353834	1.5
"1fg"	"Acclimated"	"F"	0.45	"Recovery"	167.945536087056	233.483144163299	0.665160776444074	1.5
"1fl"	"Acclimated"	"F"	0.57	"Hypoxia"	163.750822816056	235.936181580038	0.687854418803084	1.5
"1fl"	"Acclimated"	"F"	0.57	"Normoxia"	72.6441976217222	98.2218833621532	0.680278483301274	1.5
"1fl"	"Acclimated"	"F"	0.57	"Recovery"	188.846079025167	266.337394583386	0.673993283596005	1.5
"1fp"	"Acclimated"	"F"	0.2	"Hypoxia"	152.197354965667	210.112530963302	0.664829537537837	1.5
"1fp"	"Acclimated"	"F"	0.2	"Normoxia"	154.755212840444	217.761387494782	0.675975324747761	1.5
"1fp"	"Acclimated"	"F"	0.2	"Recovery"	346.8586731305	493.089099729271	0.665121214180965	1.5
"1mb"	"Acclimated"	"M"	0.12	"Hypoxia"	62.1700837254444	84.0336508055361	0.696781734147497	1.5
"1mb"	"Acclimated"	"M"	0.12	"Normoxia"	184.991666042278	258.311945951192	0.667719739851744	1.5
"1mb"	"Acclimated"	"M"	0.12	"Recovery"	169.293769348111	236.95648041581	0.669480986795882	1.5
